Date,Mean Temperature,Max Temperature,Min Temperature
2016/3/1,44,70,11
2016/4/1,48,83,22
2016/5/1,60,87,35
2016/6/1,72,93,51
2016/7/1,76,93,54
2016/8/1,76,92,56
2016/9/1,70,91,50
2016/10/1,57,82,36
2016/11/1,47,75,22
2016/12/1,25,54,-13
2017/1/1,29,59,0
2017/2/1,38,70,10
2017/3/1,40,82,16
2017/4/1,54,82,34
2017/5/1,58,87,34
2017/6/1,73,95,50
2017/7/1,75,93,56
2017/8/1,72,90,52
2017/9/1,70,95,49
2017/10/1,58,83,33
2017/11/1,40,63,18
2017/12/1,27,65,-4
